Name,Address,Category,SubCategory,Day,MAPCODE,Description,OriginalName,Order,Layer,Notes
🛍 Depot Island,"Depot Island, Chatan, Okinawa, Japan",景點,景點/購物,Day 3,,中文顯示名稱：🛍 Depot Island｜原始名稱：Depot Island｜MAPCODE：（查無資料）｜備註：緊鄰美國村，可先用美國村MAPCODE 33 525 449*16 導航後步行前往｜行程/區域：Day 3｜PDF Day 3 美國村 Depot Island。｜原始名稱：Depot Island,Depot Island,17,中部,PDF Day 3 美國村 Depot Island。
📍古宇利島,"Kouri Island, Okinawa, Japan",景點,景點,北部,,中文顯示名稱：📍古宇利島｜原始名稱：古宇利島｜MAPCODE：（查無資料）｜備註：全島無單一代表點，建議以古宇利大橋 485 662 133*22 作為進島參考點｜行程/區域：北部｜圖片景點地圖：今歸仁。｜原始名稱：古宇利島,古宇利島,18,北部景點,圖片景點地圖：今歸仁。
🎢 JUNGLIA,"JUNGLIA Okinawa, Nakijin, Okinawa, Japan",景點,景點,北部,,中文顯示名稱：🎢 JUNGLIA｜原始名稱：JUNGLIA 叢林樂園｜MAPCODE：（查無資料）｜備註：2025年新開園，尚查無公開MAPCODE，建議用地址「沖繩縣國頭郡今歸仁村字呉我山553番地1」或電話導航｜行程/區域：北部｜圖片景點地圖：今歸仁；請出發前再次確認正式開放與營業資訊。｜原始名稱：JUNGLIA 叢林樂園,JUNGLIA 叢林樂園,19,北部景點,圖片景點地圖：今歸仁；請出發前再次確認正式開放與營業資訊。
🏯 今歸仁城跡,"Nakijin Castle Ruins, Okinawa, Japan",史跡,史跡,北部,553 081 414*17,中文顯示名稱：🏯 今歸仁城跡｜原始名稱：今歸仁城跡｜MAPCODE：553 081 414*17｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：北部｜圖片景點地圖：今歸仁。｜原始名稱：今歸仁城跡,今歸仁城跡,20,北部景點,圖片景點地圖：今歸仁。
🌳 崎本部公園,"Sakimotobu Ryokuchi Park, Motobu, Okinawa, Japan",景點,景點,北部,,中文顯示名稱：🌳 崎本部公園｜原始名稱：崎本部綠地公園｜MAPCODE：（查無資料）｜備註：查無資料，建議用地址或電話導航｜行程/區域：北部｜圖片景點地圖：本部町。｜原始名稱：崎本部綠地公園,崎本部綠地公園,21,北部景點,圖片景點地圖：本部町。
🌊 瀨底島,"Sesoko Island, Okinawa, Japan",景點,景點,北部,206 822 294*66,中文顯示名稱：🌊 瀨底島｜原始名稱：瀨底島｜MAPCODE：206 822 294*66｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜提醒：另一來源給206 823 450*82，皆指瀨底島周邊，建議到場核對｜行程/區域：北部｜圖片景點地圖：本部町。｜原始名稱：瀨底島,瀨底島,22,北部景點,圖片景點地圖：本部町。
🏖 備瀨崎,"Bisezaki Beach, Motobu, Okinawa, Japan",公園/自然,海灘,北部,553 105 655*56,中文顯示名稱：🏖 備瀨崎｜原始名稱：備瀨崎海灘｜MAPCODE：553 105 655*56｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜提醒：此為備瀨福木林道座標（步行可達海灘），非海灘精確點｜行程/區域：北部｜圖片景點地圖：本部町。｜原始名稱：備瀨崎海灘,備瀨崎海灘,23,北部景點,圖片景點地圖：本部町。
🏯 座喜味城跡,"Zakimi Castle Ruins, Yomitan, Okinawa, Japan",史跡,史跡,中部,33 854 398*22,中文顯示名稱：🏯 座喜味城跡｜原始名稱：座喜味城跡｜MAPCODE：33 854 398*22｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：中部｜圖片景點地圖：讀谷。｜原始名稱：座喜味城跡,座喜味城跡,24,中部景點,圖片景點地圖：讀谷。
🌳 北谷海洋公園,"Chatan Park / Araha Park, Chatan, Okinawa, Japan",公園/自然,公園,中部,33 496 188*53,中文顯示名稱：🌳 北谷海洋公園｜原始名稱：北谷海洋公園｜MAPCODE：33 496 188*53｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜提醒：與安良波公園為同一園區｜行程/區域：中部｜圖片景點地圖：嘉手納/北谷一帶。｜原始名稱：北谷海洋公園,北谷海洋公園,25,中部景點,圖片景點地圖：嘉手納/北谷一帶。
🌳 安良波公園,"Araha Park, Chatan, Okinawa, Japan",公園/自然,公園,中部,33 496 188*53,中文顯示名稱：🌳 安良波公園｜原始名稱：安良波公園｜MAPCODE：33 496 188*53｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：中部｜圖片景點地圖：嘉手納/北谷一帶。｜原始名稱：安良波公園,安良波公園,26,中部景點,圖片景點地圖：嘉手納/北谷一帶。
🏖 美浜海岸,"Mihama Beach, Chatan, Okinawa, Japan",公園/自然,海灘,中部,33 525 175*48,中文顯示名稱：🏖 美浜海岸｜原始名稱：美浜海岸｜MAPCODE：33 525 175*48｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜提醒：即Sunset Beach日落海灘，美濱海岸通稱｜行程/區域：中部｜圖片景點地圖：嘉手納/北谷一帶。｜原始名稱：美浜海岸,美浜海岸,27,中部景點,圖片景點地圖：嘉手納/北谷一帶。
🌳 縣民之森,"Okinawa Prefectural Citizens Forest, Onna, Okinawa, Japan",公園/自然,自然,中部,,中文顯示名稱：🌳 縣民之森｜原始名稱：沖繩縣民之森｜MAPCODE：（查無資料）｜備註：查無資料，建議用地址或電話導航｜行程/區域：中部｜圖片景點地圖：恩納村。｜原始名稱：沖繩縣民之森,沖繩縣民之森,28,中部景點,圖片景點地圖：恩納村。
🌊 青之洞窟,"Blue Cave, Onna, Okinawa, Japan",景點,潛水,中部,206 062 686*55,中文顯示名稱：🌊 青之洞窟｜原始名稱：青之洞窟｜MAPCODE：206 062 686*55｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：中部｜圖片景點地圖：恩納村。｜原始名稱：青之洞窟,青之洞窟,29,中部景點,圖片景點地圖：恩納村。
📍琉球村,"Ryukyu Mura, Okinawa, Japan",景點,景點,中部,206 033 096*46,中文顯示名稱：📍琉球村｜原始名稱：琉球村｜MAPCODE：206 033 096*46｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：中部｜圖片景點地圖：恩納村。｜原始名稱：琉球村,琉球村,30,中部景點,圖片景點地圖：恩納村。
📍港川外人住宅,"Minatogawa Stateside Town, Urasoe, Okinawa, Japan",景點,景點,中部,33 340 029*22,中文顯示名稱：📍港川外人住宅｜原始名稱：港川外人住宅｜MAPCODE：33 340 029*22｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：中部｜圖片景點地圖：浦添市。｜原始名稱：港川外人住宅,港川外人住宅,31,中部景點,圖片景點地圖：浦添市。
🌳 浦添大公園,"Urasoe Dai Park, Okinawa, Japan",公園/自然,公園,中部,33 282 500*52,中文顯示名稱：🌳 浦添大公園｜原始名稱：浦添大公園｜MAPCODE：33 282 500*52｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜提醒：另一來源數值差異較大(333 120 44*07)，建議出發前核對｜行程/區域：中部｜圖片景點地圖：浦添市。｜原始名稱：浦添大公園,浦添大公園,32,中部景點,圖片景點地圖：浦添市。
🛍 PARCO CITY,"San-A Urasoe West Coast PARCO CITY, Okinawa, Japan",購物,購物,中部,33 308 868*74,中文顯示名稱：🛍 PARCO CITY｜原始名稱：PARCO CITY 沖繩｜MAPCODE：33 308 868*74｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜提醒：另一來源給33 339 120，差異明顯，建議出發前核對｜行程/區域：中部｜圖片景點地圖：浦添市。｜原始名稱：PARCO CITY 沖繩,PARCO CITY 沖繩,33,中部景點,圖片景點地圖：浦添市。
🌳 奧武山公園,"Onoyama Park, Naha, Okinawa, Japan",公園/自然,公園,南部,33 096 846*77,中文顯示名稱：🌳 奧武山公園｜原始名稱：奧武山公園｜MAPCODE：33 096 846*77｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜提醒：此為園內兒童遊戲區/溜滑梯座標，非公園主入口｜行程/區域：南部｜圖片景點地圖：那霸市。｜原始名稱：奧武山公園,奧武山公園,34,南部景點,圖片景點地圖：那霸市。
🏖 波上宮海灘,"Naminoue Beach, Naha, Okinawa, Japan",公園/自然,海灘,南部,33 155 840*25,中文顯示名稱：🏖 波上宮海灘｜原始名稱：波上宮海灘｜MAPCODE：33 155 840*25｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部｜圖片景點地圖：那霸市。｜原始名稱：波上宮海灘,波上宮海灘,35,南部景點,圖片景點地圖：那霸市。
🛍 國際通,"Kokusai Dori, Naha, Okinawa, Japan",購物,商圈,南部,33 157 312*03,中文顯示名稱：🛍 國際通｜原始名稱：沖繩國際通｜MAPCODE：33 157 312*03｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部｜圖片景點地圖：那霸市。｜原始名稱：沖繩國際通,沖繩國際通,36,南部景點,圖片景點地圖：那霸市。
🐟 泊港漁市場,"Tomari Iyumachi Fish Market, Naha, Okinawa, Japan",購物,市場,南部,33 216 085*14,中文顯示名稱：🐟 泊港漁市場｜原始名稱：泊港漁市場｜MAPCODE：33 216 085*14｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部｜圖片景點地圖：那霸市。｜原始名稱：泊港漁市場,泊港漁市場,37,南部景點,圖片景點地圖：那霸市。
📍金城町石疊道,"Kinjo Stone Road, Naha, Okinawa, Japan",史跡,史跡,南部,33 161 390*60,中文顯示名稱：📍金城町石疊道｜原始名稱：金城町石疊道｜MAPCODE：33 161 390*60｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部｜圖片景點地圖：那霸市。｜原始名稱：金城町石疊道,金城町石疊道,38,南部景點,圖片景點地圖：那霸市。
🌿 識名園,"Shikinaen Royal Garden, Naha, Okinawa, Japan",公園/自然,庭園,南部,33 131 090*26,中文顯示名稱：🌿 識名園｜原始名稱：識名園｜MAPCODE：33 131 090*26｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部｜圖片景點地圖：那霸市。｜原始名稱：識名園,識名園,39,南部景點,圖片景點地圖：那霸市。
🐟 牧志市場,"Makishi Public Market, Naha, Okinawa, Japan",購物,市場,南部,33 157 264*63,中文顯示名稱：🐟 牧志市場｜原始名稱：第一牧志公設市場｜MAPCODE：33 157 264*63｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部｜圖片景點地圖：那霸市。｜原始名稱：第一牧志公設市場,第一牧志公設市場,40,南部景點,圖片景點地圖：那霸市。
🏯 首里城,"Shurijo Castle, Naha, Okinawa, Japan",史跡,史跡,南部,33 161 526*71,中文顯示名稱：🏯 首里城｜原始名稱：首里城｜MAPCODE：33 161 526*71｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部｜圖片景點地圖：那霸市。｜原始名稱：首里城,首里城,41,南部景點,圖片景點地圖：那霸市。
🍍 名護鳳梨園,"Nago Pineapple Park, 1195 Biimata, Nago, Okinawa",景點,景點,北部,206 716 437*41,"中文顯示名稱：🍍 名護鳳梨園｜原始名稱：名護鳳梨園｜MAPCODE：206 716 437*41｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜Google Maps Search Query：Nago Pineapple Park, 1195 Biimata, Nago, Okinawa｜行程/區域：北部｜圖片景點地圖：名護市。｜原始名稱：名護鳳梨園",名護鳳梨園,42,北部景點,圖片景點地圖：名護市。｜已檢查修正：改成官方地址；MAPCODE 改用 Mapion 查到的碼。
🍍 水果樂園,"Okinawa Fruits Land, 1220-71 Biimata, Nago, Okinawa",景點,景點,北部,206 716 584*13,"中文顯示名稱：🍍 水果樂園｜原始名稱：OKINAWA Fruits Land 水果樂園｜MAPCODE：206 716 584*13｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜Google Maps Search Query：Okinawa Fruits Land, 1220-71 Biimata, Nago, Okinawa｜行程/區域：北部｜圖片景點地圖：名護市。｜原始名稱：OKINAWA Fruits Land 水果樂園",OKINAWA Fruits Land 水果樂園,43,北部景點,圖片景點地圖：名護市。｜已檢查修正：補完整地址，保留 MAPCODE。
🌳 名護自然動植物園,"Neo Park Okinawa, Nago, Okinawa, Japan",景點,景點,北部,206 689 726*88,中文顯示名稱：🌳 名護自然動植物園｜原始名稱：名護自然動植物公園｜MAPCODE：206 689 726*88｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：北部｜圖片景點地圖：名護市。｜原始名稱：名護自然動植物公園,名護自然動植物公園,44,北部景點,圖片景點地圖：名護市。
🍺 Orion啤酒廠,"Orion Happy Park, Nago, Okinawa, Japan",景點,工廠見學,北部,206 598 837*51,中文顯示名稱：🍺 Orion啤酒廠｜原始名稱：Orion 啤酒廠｜MAPCODE：206 598 837*51｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：北部｜圖片景點地圖：名護市。｜原始名稱：Orion 啤酒廠,Orion 啤酒廠,45,北部景點,圖片景點地圖：名護市。
🌊 部瀨名海中公園,"Busena Marine Park, Nago, Okinawa, Japan",景點,海中公園,北部,206 442 251*55,中文顯示名稱：🌊 部瀨名海中公園｜原始名稱：部瀨名海中公園｜MAPCODE：206 442 251*55｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：北部｜圖片景點地圖：名護市。｜原始名稱：部瀨名海中公園,部瀨名海中公園,46,北部景點,圖片景點地圖：名護市。
🦖 恐龍公園,"DINO Dinosaur Park Yanbaru Subtropical Forest, Nago, Okinawa, Japan",景點,景點,北部,206 775 882*21,中文顯示名稱：🦖 恐龍公園｜原始名稱：DINO恐龍公園｜MAPCODE：206 775 882*21｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：北部｜圖片景點地圖：名護市。｜原始名稱：DINO恐龍公園,DINO恐龍公園,47,北部景點,圖片景點地圖：名護市。
🌳 Bios之丘,"Bios Hill, Uruma, Okinawa, Japan",公園/自然,自然,中部,206 005 115*00,中文顯示名稱：🌳 Bios之丘｜原始名稱：Bios之丘｜MAPCODE：206 005 115*00｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：中部｜圖片景點地圖：宇流麻市。｜原始名稱：Bios之丘,Bios之丘,48,中部景點,圖片景點地圖：宇流麻市。
🌊 海中道路,"Kaichu Road, Uruma, Okinawa, Japan",景點,景點,中部,499 576 282*33,中文顯示名稱：🌊 海中道路｜原始名稱：海中道路｜MAPCODE：499 576 282*33｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：中部｜圖片景點地圖：宇流麻市。｜原始名稱：海中道路,海中道路,49,中部景點,圖片景點地圖：宇流麻市。
🏯 勝連城跡,"Katsuren Castle Ruins, Uruma, Okinawa, Japan",史跡,史跡,中部,499 570 171*28,中文顯示名稱：🏯 勝連城跡｜原始名稱：勝連城跡｜MAPCODE：499 570 171*28｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜提醒：三個來源數值有落差(140/171/239)，建議出發前用手機核對｜行程/區域：中部｜圖片景點地圖：宇流麻市。｜原始名稱：勝連城跡,勝連城跡,50,中部景點,圖片景點地圖：宇流麻市。
🐟 泡瀨漁港,"Awase Fishing Port, Okinawa City, Okinawa, Japan",交通,港口,中部,,中文顯示名稱：🐟 泡瀨漁港｜原始名稱：泡瀨漁港｜MAPCODE：（查無資料）｜備註：查無資料，建議用地址或電話導航｜行程/區域：中部｜圖片景點地圖：沖繩市。｜原始名稱：泡瀨漁港,泡瀨漁港,51,中部景點,圖片景點地圖：沖繩市。
🌿 東南植物樂園,"Southeast Botanical Gardens, Okinawa, Japan",公園/自然,植物園,中部,33 742 510*33,中文顯示名稱：🌿 東南植物樂園｜原始名稱：東南植物樂園｜MAPCODE：33 742 510*33｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：中部｜圖片景點地圖：沖繩市。｜原始名稱：東南植物樂園,東南植物樂園,52,中部景點,圖片景點地圖：沖繩市。
🎢 兒童王國,"Okinawa Zoo & Museum, Okinawa City, Okinawa, Japan",景點,親子景點,中部,33 561 712*52,中文顯示名稱：🎢 兒童王國｜原始名稱：沖繩兒童王國｜MAPCODE：33 561 712*52｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜提醒：另兩來源給561766/561796，有落差，建議核對｜行程/區域：中部｜圖片景點地圖：沖繩市。｜原始名稱：沖繩兒童王國,沖繩兒童王國,53,中部景點,圖片景點地圖：沖繩市。
🌊 奧武島,"Ou Island, Nanjo, Okinawa, Japan",公園/自然,島嶼,南部,232 467 328*53,中文顯示名稱：🌊 奧武島｜原始名稱：奧武島｜MAPCODE：232 467 328*53｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部｜圖片景點地圖：南城市。｜原始名稱：奧武島,奧武島,54,南部景點,圖片景點地圖：南城市。
📍齋場御嶽,"Sefa-utaki, Nanjo, Okinawa, Japan",史跡,聖地,南部,33 024 253*22,中文顯示名稱：📍齋場御嶽｜原始名稱：齋場御嶽｜MAPCODE：33 024 253*22｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部｜圖片景點地圖：南城市。｜原始名稱：齋場御嶽,齋場御嶽,55,南部景點,圖片景點地圖：南城市。
🌳 知念岬公園,"Cape Chinen Park, Nanjo, Okinawa, Japan",公園/自然,公園,南部,232 594 560*74,中文顯示名稱：🌳 知念岬公園｜原始名稱：知念岬公園｜MAPCODE：232 594 560*74｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部｜圖片景點地圖：南城市。｜原始名稱：知念岬公園,知念岬公園,56,南部景點,圖片景點地圖：南城市。
🛍 AEON Rycom,"AEON MALL Okinawa Rycom, Kitanakagusuku, Okinawa, Japan",購物,購物,中部,33 530 231*88,中文顯示名稱：🛍 AEON Rycom｜原始名稱：AEON MALL Okinawa Rycom｜MAPCODE：33 530 231*88｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：中部｜圖片景點地圖：北中城村。｜原始名稱：AEON MALL Okinawa Rycom,AEON MALL Okinawa Rycom,57,中部景點,圖片景點地圖：北中城村。
🌳 中城公園,"Nakagusuku Park, Okinawa, Japan",公園/自然,公園,中部,33 440 100*25,中文顯示名稱：🌳 中城公園｜原始名稱：中城公園｜MAPCODE：33 440 100*25｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：中部｜圖片景點地圖：中城/北中城。｜原始名稱：中城公園,中城公園,58,中部景點,圖片景點地圖：中城/北中城。
🌳 和平祈念公園,"Okinawa Peace Memorial Park, Itoman, Okinawa, Japan",公園/自然,公園,南部,232 342 061*03,中文顯示名稱：🌳 和平祈念公園｜原始名稱：和平祈念公園｜MAPCODE：232 342 061*03｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部｜圖片景點地圖：糸滿市。｜原始名稱：和平祈念公園,和平祈念公園,59,南部景點,圖片景點地圖：糸滿市。
